ID,Category,Stage,Filename,Status,Criticality,Scope,Rows,Columns,Size_MB,Original_Path,Package_Path,Produced_By,Used_By,Key_Columns,Description,Notes,SHA256,Duplicate_IDs
1,01_Core_FSI_Processed,FSI post-processing,Patient1_VectorResolved_Hemodynamics.csv,Current/Canonical,Core input,A1,8191,12,1.7114,/mnt/data/Patient1_VectorResolved_Hemodynamics.csv,spreadsheets_original_csv/01_Core_FSI_Processed/Patient1_VectorResolved_Hemodynamics.csv,COMSOL export + Python WSS post-processing,"V1 feature/target table, V2/V3 analyses","x_m, y_m, z_m, TAWSS_vector_Pa, OSI, RRT_1_per_Pa, mean_WSSx_Pa, mean_WSSy_Pa, mean_WSSz_Pa, mean_WSS_vector_magnitude_Pa, peak_WSS_magnitude_Pa, t_peak_WSS_s","Processed vector-resolved hemodynamic output for anatomy A1, containing inner-wall coordinates and the canonical TAWSS, OSI, RRT, mean WSS-vector, peak WSS, and peak-time fields used downstream.",,de96441ab19ac1a8a0c8530f940dd6b47033bc9fbe6072077d8e9de2f23cd23f,
2,01_Core_FSI_Processed,FSI post-processing,Patient1_CycleResolved_SolidMechanics.csv,Current/Canonical,Core input,A1,8191,10,1.3871,/mnt/data/Patient1_CycleResolved_SolidMechanics.csv,spreadsheets_original_csv/01_Core_FSI_Processed/Patient1_CycleResolved_SolidMechanics.csv,COMSOL export + Python mechanics post-processing,"V1 feature/target table, V2/V3 analyses","x_m, y_m, z_m, VM_cycle_max_Pa, VM_cycle_min_Pa, VM_stress_range_Pa, VM_stress_amplitude_Pa, VM_midrange_stress_Pa, VM_temporal_mean_Pa, t_VM_max_s","Processed solid-mechanics output for anatomy A1, containing saved-state/cycle-resolved von Mises stress maximum, minimum, range, amplitude, midrange, temporal mean, and time of maximum.",,a5bc7f5f4564492688635701d4fda0057bbf321804c059613a936b1c7148cdbd,
3,01_Core_FSI_Processed,FSI post-processing,Patient2_VectorResolved_Hemodynamics.csv,Current/Canonical,Core input,A2,6800,12,1.4279,/mnt/data/Patient2_VectorResolved_Hemodynamics.csv,spreadsheets_original_csv/01_Core_FSI_Processed/Patient2_VectorResolved_Hemodynamics.csv,COMSOL export + Python WSS post-processing,"V1 feature/target table, V2/V3 analyses","x_m, y_m, z_m, TAWSS_vector_Pa, OSI, RRT_1_per_Pa, mean_WSSx_Pa, mean_WSSy_Pa, mean_WSSz_Pa, mean_WSS_vector_magnitude_Pa, peak_WSS_magnitude_Pa, t_peak_WSS_s","Processed vector-resolved hemodynamic output for anatomy A2, containing inner-wall coordinates and the canonical TAWSS, OSI, RRT, mean WSS-vector, peak WSS, and peak-time fields used downstream.",,ef32c176cc569d5fd3e2ecb4a1b1e8cf417e695d7ee5fb84d7d2a165f897aa15,
4,01_Core_FSI_Processed,FSI post-processing,Patient2_CycleResolved_SolidMechanics.csv,Current/Canonical,Core input,A2,6800,10,1.1589,/mnt/data/Patient2_CycleResolved_SolidMechanics.csv,spreadsheets_original_csv/01_Core_FSI_Processed/Patient2_CycleResolved_SolidMechanics.csv,COMSOL export + Python mechanics post-processing,"V1 feature/target table, V2/V3 analyses","x_m, y_m, z_m, VM_cycle_max_Pa, VM_cycle_min_Pa, VM_stress_range_Pa, VM_stress_amplitude_Pa, VM_midrange_stress_Pa, VM_temporal_mean_Pa, t_VM_max_s","Processed solid-mechanics output for anatomy A2, containing saved-state/cycle-resolved von Mises stress maximum, minimum, range, amplitude, midrange, temporal mean, and time of maximum.",,f74ea371ca8a24e15e1f94c63213a0020f4212b2d139177badf9494ea00b7c4e,
5,01_Core_FSI_Processed,FSI post-processing,Patient3_VectorResolved_Hemodynamics.csv,Current/Canonical,Core input,A3,3203,12,0.6457,/mnt/data/Patient3_VectorResolved_Hemodynamics.csv,spreadsheets_original_csv/01_Core_FSI_Processed/Patient3_VectorResolved_Hemodynamics.csv,COMSOL export + Python WSS post-processing,"V1 feature/target table, V2/V3 analyses","x_mm, y_mm, z_mm, TAWSS_vector_Pa, OSI, RRT_1_per_Pa, mean_WSSx_Pa, mean_WSSy_Pa, mean_WSSz_Pa, mean_WSS_vector_magnitude_Pa, peak_WSS_magnitude_Pa, t_peak_WSS_s","Processed vector-resolved hemodynamic output for anatomy A3, containing inner-wall coordinates and the canonical TAWSS, OSI, RRT, mean WSS-vector, peak WSS, and peak-time fields used downstream.",,f149306b97eae7ebbc373df3c6e15d6e0fb4b3ddc4101e9347892e626b37aece,
6,01_Core_FSI_Processed,FSI post-processing,Patient3_CycleResolved_SolidMechanics.csv,Current/Canonical,Core input,A3,3203,10,0.534,/mnt/data/Patient3_CycleResolved_SolidMechanics.csv,spreadsheets_original_csv/01_Core_FSI_Processed/Patient3_CycleResolved_SolidMechanics.csv,COMSOL export + Python mechanics post-processing,"V1 feature/target table, V2/V3 analyses","x_mm, y_mm, z_mm, VM_cycle_max_Pa, VM_cycle_min_Pa, VM_stress_range_Pa, VM_stress_amplitude_Pa, VM_midrange_stress_Pa, VM_temporal_mean_Pa, t_VM_max_s","Processed solid-mechanics output for anatomy A3, containing saved-state/cycle-resolved von Mises stress maximum, minimum, range, amplitude, midrange, temporal mean, and time of maximum.",,7d5e2b60cf7385679503d94921a14bb700b30f07ece7dc297173a1388a44fcea,
7,01_Core_FSI_Processed,FSI post-processing,Patient4_VectorResolved_Hemodynamics.csv,Current/Canonical,Core input,A4,4055,12,0.832,/mnt/data/Patient4_VectorResolved_Hemodynamics.csv,spreadsheets_original_csv/01_Core_FSI_Processed/Patient4_VectorResolved_Hemodynamics.csv,COMSOL export + Python WSS post-processing,"V1/V2/V3, reviewer analyses","x_mm, y_mm, z_mm, TAWSS_vector_Pa, OSI, RRT_1_per_Pa, mean_WSSx_Pa, mean_WSSy_Pa, mean_WSSz_Pa, mean_WSS_vector_magnitude_Pa, peak_WSS_magnitude_Pa, t_peak_WSS_s","Processed vector-resolved hemodynamic output for anatomy A4. This is the canonical FSI target source for A4 zero-shot evaluation, sparse personalization, baseline interpolation, and diagnostic analyses.",,7d0ccd9a155961960870a06561a6e911106c414388fa14216c75a12f1a9ec7fd,
8,01_Core_FSI_Processed,FSI post-processing,Patient4_CycleResolved_SolidMechanics_v2.csv,Current/Canonical,Core input,A4,4055,10,0.6797,/mnt/data/Patient4_CycleResolved_SolidMechanics_v2.csv,spreadsheets_original_csv/01_Core_FSI_Processed/Patient4_CycleResolved_SolidMechanics_v2.csv,Corrected COMSOL/CSV export + Python mechanics post-processing,"V1/V2/V3, reviewer analyses","x_mm, y_mm, z_mm, VM_cycle_max_Pa, VM_cycle_min_Pa, VM_stress_range_Pa, VM_stress_amplitude_Pa, VM_midrange_stress_Pa, VM_temporal_mean_Pa, t_VM_max_s","Corrected and canonical solid-mechanics output for anatomy A4, with exact 4,055-node correspondence to the A4 hemodynamic table. This is the valid mechanics source used by the final modeling pipeline.",The v2 file is the valid canonical A4 mechanics table. The older Patient4_CycleResolved_SolidMechanics.csv was intentionally excluded because it was superseded/invalid.,896544d3f15738c77f9230d704ba0f0dcc6a62e6be270984a60f526056d7d3da,
9,02_FSI_Raw_and_Audits,FSI verification/post-processing audit,Patient1_VM_Raw_TimeSeries.csv,Validation/Audit,Validation/audit,A1,8199,2,3.5268,/mnt/data/Patient1_VM_Raw_TimeSeries.csv,spreadsheets_original_csv/02_FSI_Raw_and_Audits/Patient1_VM_Raw_TimeSeries.csv,COMSOL exports and validation scripts,FSI target construction / method validation / manuscript numerical audit,"% Model, Patient_1_Carreau_MR_Final(3.mph",A1 raw VM time series used to derive cycle-resolved mechanics.,,ef2c2c711fd08fe5879370e15aad0d64e7a71f81487aa81ed7cbc6dad9999d7e,
10,02_FSI_Raw_and_Audits,FSI verification/post-processing audit,Patient1_VM_Timewise_Audit.csv,Validation/Audit,Validation/audit,A1,21,5,0.0017,/mnt/data/Patient1_VM_Timewise_Audit.csv,spreadsheets_original_csv/02_FSI_Raw_and_Audits/Patient1_VM_Timewise_Audit.csv,COMSOL exports and validation scripts,FSI target construction / method validation / manuscript numerical audit,"t_s, spatial_mean_VM_Pa, spatial_median_VM_Pa, spatial_p95_VM_Pa, spatial_max_VM_Pa",A1 timewise audit of VM-derived quantities.,,00a39aef59a90ac3232b739e47be8f39a792de07578bee3e1748bdf186cb84ce,
